instrument,innovation,confidence,forecast_count,valid_forecast_count,fit_success_count,fit_failure_count,fit_success_rate,expected_exceedances_valid,expected_exceedances_full_oos,observed_exceedances,observed_exceedance_rate,mean_var_quantile_loss,mean_fz0_score,kupiec_statistic,kupiec_p_value,kupiec_reject_at_5pct,christoffersen_independence_statistic,christoffersen_independence_p_value,christoffersen_independence_reject_at_5pct,christoffersen_conditional_coverage_statistic,christoffersen_conditional_coverage_p_value,christoffersen_conditional_coverage_reject_at_5pct
BTC-USD,student_t,0.95,1325,1068,1068,257,0.8060377358490566,53.40000000000005,66.25000000000006,43,0.040262172284644196,0.27673193759647263,1.7029900769742303,2.2777269983913584,0.1312440951070932,False,0.04274251436481791,0.8362108639521031,False,2.3204695127561763,0.3134125966397236,False
BTC-USD,student_t,0.99,1325,1068,1068,257,0.8060377358490566,10.68000000000001,13.250000000000012,8,0.00749063670411985,0.08721554306808407,2.1642855409307296,0.7438866220497431,0.3884186919260807,False,0.12086989373530344,0.7280929281122341,False,0.8647565157850465,0.6489638545527858,False
ETH-USD,student_t,0.95,1325,1119,1119,206,0.8445283018867924,55.95000000000005,66.25000000000006,54,0.04825737265415549,0.3740514400644342,1.9883051129031482,0.07234086187594357,0.787958489545777,False,0.062242963393941864,0.8029853352420755,False,0.13458382526988544,0.9349222458828796,False
ETH-USD,student_t,0.99,1325,1119,1119,206,0.8445283018867924,11.19000000000001,13.250000000000012,8,0.0071492403932082215,0.11434376086591555,2.4188048894757026,1.0199132863362337,0.3125395787533696,False,0.11531631365605222,0.7341709151269573,False,1.135229599992286,0.5668759399456231,False
BTC-USD,normal,0.95,1325,1325,1325,0,1.0,66.25000000000006,66.25000000000006,52,0.03924528301886793,0.27982032082607533,1.7074811116094615,3.4727738060893216,0.06238661406990869,False,3.402717359411838,0.06508911027692245,False,6.87549116550116,0.032137054051560095,True
BTC-USD,normal,0.99,1325,1325,1325,0,1.0,13.250000000000012,13.250000000000012,26,0.019622641509433963,0.08402224811538102,2.146013601137091,9.677478692257324,0.0018654043832517315,True,1.041672130833149,0.3074328971851498,False,10.719150823090473,0.004702902481832223,True
ETH-USD,normal,0.95,1325,1316,1316,9,0.9932075471698113,65.80000000000005,66.25000000000006,59,0.044832826747720364,0.38001470122690767,2.030391744269419,0.7651966644189656,0.38170711670011526,False,3.5301060369234847,0.060263933956995405,False,4.29530270134245,0.11675805973638811,False
ETH-USD,normal,0.99,1325,1316,1316,9,0.9932075471698113,13.16000000000001,13.250000000000012,25,0.018996960486322188,0.11701135986009514,2.5161601865640786,8.512622400575367,0.003526914309877979,True,0.4610832471195465,0.4971181509298749,False,8.973705647694914,0.011256012779198356,True
