instrument,innovation,forecast_date,origin_index,error_type,error
BTC-USD,student_t,2024-09-04,1141,GarchFitError,"fit violated GARCH constraints: omega=0.05123725844925482, alpha=0.0371269719589523, beta=0.9628730286831003"
BTC-USD,student_t,2024-09-05,1142,GarchFitError,"fit violated GARCH constraints: omega=0.04940846755481015, alpha=0.03658050689742358, beta=0.9634194980909221"
BTC-USD,student_t,2024-09-06,1143,GarchFitError,"fit violated GARCH constraints: omega=0.023064743791323155, alpha=0.0, beta=1.0"
BTC-USD,student_t,2024-09-07,1144,GarchFitError,"fit violated GARCH constraints: omega=0.046607627304166045, alpha=0.03611172418152368, beta=0.963888797673315"
BTC-USD,student_t,2024-09-08,1145,GarchFitError,"fit violated GARCH constraints: omega=0.043181070961294726, alpha=0.03559661788760096, beta=0.9644040992558612"
BTC-USD,student_t,2024-09-09,1146,GarchFitError,"fit violated GARCH constraints: omega=0.0533860822664934, alpha=0.03787219822542363, beta=0.9621283511462001"
BTC-USD,student_t,2024-09-10,1147,GarchFitError,"fit violated GARCH constraints: omega=0.04451241851066039, alpha=0.035416225891984204, beta=0.9645837777061368"
BTC-USD,student_t,2024-09-12,1149,GarchFitError,"fit violated GARCH constraints: omega=0.03964231787811288, alpha=0.035458595426610846, beta=0.9645414248580493"
BTC-USD,student_t,2024-09-13,1150,GarchFitError,"fit violated GARCH constraints: omega=0.04119049977213476, alpha=0.033988641564988875, beta=0.9660113647748004"
BTC-USD,student_t,2024-09-16,1153,GarchFitError,"fit violated GARCH constraints: omega=0.038392225788634195, alpha=0.03321732694192484, beta=0.9667828060811374"
BTC-USD,student_t,2024-09-18,1155,GarchFitError,"fit violated GARCH constraints: omega=0.04121520854260198, alpha=0.03206265866477991, beta=0.9679373436033245"
BTC-USD,student_t,2024-09-19,1156,GarchFitError,"fit violated GARCH constraints: omega=0.042775708920430665, alpha=0.03204514269230083, beta=0.9679548607633653"
BTC-USD,student_t,2024-09-21,1158,GarchFitError,"fit violated GARCH constraints: omega=0.049290907537417016, alpha=0.0342164065892176, beta=0.965783594253652"
BTC-USD,student_t,2024-09-23,1160,GarchFitError,"fit violated GARCH constraints: omega=0.06632179073782488, alpha=0.040554004179001964, beta=0.959445995882207"
BTC-USD,student_t,2024-09-25,1162,GarchFitError,"fit violated GARCH constraints: omega=0.060999086411192546, alpha=0.04057341484631879, beta=0.9594265854529427"
BTC-USD,student_t,2024-09-26,1163,GarchFitError,"fit violated GARCH constraints: omega=0.02535094330874816, alpha=0.0, beta=1.0"
BTC-USD,student_t,2024-09-27,1164,GarchFitError,"fit violated GARCH constraints: omega=0.02575874819992743, alpha=0.0, beta=1.0"
BTC-USD,student_t,2024-09-30,1167,GarchFitError,"fit violated GARCH constraints: omega=0.06002075963930189, alpha=0.042425006077359675, beta=0.9575749942100817"
BTC-USD,student_t,2024-10-01,1168,GarchFitError,"fit violated GARCH constraints: omega=0.04888644049667681, alpha=0.038618457993526964, beta=0.9613815866014084"
BTC-USD,student_t,2024-10-02,1169,GarchFitError,"fit violated GARCH constraints: omega=0.029509183382074873, alpha=5.686250738434854e-14, beta=1.0"
BTC-USD,student_t,2024-10-04,1171,GarchFitError,"fit violated GARCH constraints: omega=0.030704735679359905, alpha=0.0, beta=1.0"
BTC-USD,student_t,2024-10-05,1172,GarchFitError,"fit violated GARCH constraints: omega=0.03251704596094079, alpha=2.5543661979486998e-09, beta=0.99999999872516"
BTC-USD,student_t,2024-10-06,1173,GarchFitError,"fit violated GARCH constraints: omega=0.05415398400305312, alpha=0.04080337527841597, beta=0.9591966260006755"
BTC-USD,student_t,2024-10-08,1175,GarchFitError,"fit violated GARCH constraints: omega=0.032957860221315985, alpha=2.3827117768662375e-08, beta=1.0"
BTC-USD,student_t,2024-10-10,1177,GarchFitError,"fit violated GARCH constraints: omega=0.05088654910055265, alpha=0.041639385580990305, beta=0.9583606149551056"
BTC-USD,student_t,2024-10-12,1179,GarchFitError,"fit violated GARCH constraints: omega=0.05267762792882717, alpha=0.043023397215764245, beta=0.9569766225844554"
BTC-USD,student_t,2024-10-13,1180,GarchFitError,"fit violated GARCH constraints: omega=0.056733717797519644, alpha=0.04415213707616343, beta=0.9558478629569388"
BTC-USD,student_t,2024-10-15,1182,GarchFitError,"fit violated GARCH constraints: omega=0.04484152966050653, alpha=0.0, beta=1.0"
BTC-USD,student_t,2024-10-16,1183,GarchFitError,"fit violated GARCH constraints: omega=0.06659155721175508, alpha=0.04699157795080278, beta=0.9530084277749673"
BTC-USD,student_t,2024-10-17,1184,GarchFitError,"fit violated GARCH constraints: omega=0.06939368509470396, alpha=0.049719875780959336, beta=0.9502801364878555"
BTC-USD,student_t,2024-10-18,1185,GarchFitError,"fit violated GARCH constraints: omega=0.05342552476553258, alpha=0.041424602021987555, beta=0.9585754012637455"
BTC-USD,student_t,2024-10-19,1186,GarchFitError,"fit violated GARCH constraints: omega=0.03698511350910183, alpha=0.030987189980246136, beta=0.9690128200905112"
BTC-USD,student_t,2024-10-21,1188,GarchFitError,"fit violated GARCH constraints: omega=0.03785515744134823, alpha=0.0306634361040973, beta=0.9693365651323672"
BTC-USD,student_t,2024-10-22,1189,GarchFitError,"fit violated GARCH constraints: omega=0.03683197791316835, alpha=0.031198407350616134, beta=0.9688015940286511"
BTC-USD,student_t,2024-10-23,1190,GarchFitError,"fit violated GARCH constraints: omega=0.03962047139540016, alpha=0.03094194057048706, beta=0.96905806066445"
BTC-USD,student_t,2024-10-24,1191,GarchFitError,"fit violated GARCH constraints: omega=0.03976602243533069, alpha=0.03284821972010044, beta=0.9671519612321361"
BTC-USD,student_t,2024-10-25,1192,GarchFitError,"fit violated GARCH constraints: omega=0.03954175652903319, alpha=0.03364169520395004, beta=0.966358341657173"
BTC-USD,student_t,2024-10-26,1193,GarchFitError,"fit violated GARCH constraints: omega=0.040016235377449964, alpha=0.03495576158929678, beta=0.9650444148692235"
BTC-USD,student_t,2024-10-28,1195,GarchFitError,"fit violated GARCH constraints: omega=0.041948056728324946, alpha=0.03371645712555571, beta=0.9662835635470323"
BTC-USD,student_t,2024-10-30,1197,GarchFitError,"fit violated GARCH constraints: omega=0.043047837938353255, alpha=0.03048390995209207, beta=0.9695160946874318"
BTC-USD,student_t,2024-10-31,1198,GarchFitError,"fit violated GARCH constraints: omega=0.0466192756772144, alpha=0.033246689362426064, beta=0.9667533110515013"
BTC-USD,student_t,2024-11-01,1199,GarchFitError,"fit violated GARCH constraints: omega=0.050018241266441305, alpha=0.03279426847243278, beta=0.9672057316650449"
BTC-USD,student_t,2024-11-03,1201,GarchFitError,"fit violated GARCH constraints: omega=0.029452625115519993, alpha=0.01485018441752831, beta=0.985149820756446"
BTC-USD,student_t,2024-11-04,1202,GarchFitError,"fit violated GARCH constraints: omega=0.028787008862008405, alpha=0.015884999741655526, beta=0.9841150044062834"
BTC-USD,student_t,2024-11-08,1206,GarchFitError,"fit violated GARCH constraints: omega=0.03373701777612862, alpha=0.012317955176100025, beta=0.9876820448339314"
BTC-USD,student_t,2024-11-10,1208,GarchFitError,"fit violated GARCH constraints: omega=0.0392693825338153, alpha=0.012143856633284584, beta=0.9878561433667772"
BTC-USD,student_t,2024-11-11,1209,GarchFitError,"fit violated GARCH constraints: omega=0.041847363464743305, alpha=0.01046701020274261, beta=0.9895329897972575"
BTC-USD,student_t,2024-11-13,1211,GarchFitError,"fit violated GARCH constraints: omega=0.04137559754568534, alpha=0.009238687933799295, beta=0.99076131209417"
BTC-USD,student_t,2024-11-14,1212,GarchFitError,"fit violated GARCH constraints: omega=0.038980957530464835, alpha=0.009593731221358771, beta=0.9904062692905042"
BTC-USD,student_t,2024-11-15,1213,GarchFitError,"fit violated GARCH constraints: omega=0.04227530903376156, alpha=0.008088474687200914, beta=0.9919115293084758"
BTC-USD,student_t,2024-11-16,1214,GarchFitError,"fit violated GARCH constraints: omega=0.045284391273843545, alpha=0.006820235012887039, beta=0.9931797825716382"
BTC-USD,student_t,2024-11-17,1215,GarchFitError,"fit violated GARCH constraints: omega=0.049242969655045835, alpha=0.006652165584767078, beta=0.9933478349825972"
BTC-USD,student_t,2024-11-18,1216,GarchFitError,"fit violated GARCH constraints: omega=0.05490905965812233, alpha=0.006656701930512621, beta=0.9933433007496251"
BTC-USD,student_t,2024-11-19,1217,GarchFitError,"fit violated GARCH constraints: omega=0.06400716899236086, alpha=0.006394726879965742, beta=0.9936056006158798"
BTC-USD,student_t,2024-11-20,1218,GarchFitError,"fit violated GARCH constraints: omega=0.061302347279821465, alpha=0.006621298337389621, beta=0.9933787016626145"
BTC-USD,student_t,2024-11-22,1220,GarchFitError,"fit violated GARCH constraints: omega=0.06112677903525536, alpha=0.006086468589112124, beta=0.9939135314109522"
BTC-USD,student_t,2024-11-23,1221,GarchFitError,"fit violated GARCH constraints: omega=0.06099499337901782, alpha=0.006479271140616049, beta=0.9935207288611037"
BTC-USD,student_t,2024-11-24,1222,GarchFitError,"fit violated GARCH constraints: omega=0.0683744664314478, alpha=0.006177147325749343, beta=0.9938228526766474"
BTC-USD,student_t,2024-11-25,1223,GarchFitError,"fit violated GARCH constraints: omega=0.07379830468459694, alpha=0.0069941473811015635, beta=0.9930058619113844"
BTC-USD,student_t,2024-11-26,1224,GarchFitError,"fit violated GARCH constraints: omega=0.06269174046279037, alpha=0.008597349092147738, beta=0.9914026509078523"
BTC-USD,student_t,2024-11-27,1225,GarchFitError,"fit violated GARCH constraints: omega=0.06138161975472476, alpha=0.008880972158407394, beta=0.9911190278415927"
BTC-USD,student_t,2024-11-28,1226,GarchFitError,"fit violated GARCH constraints: omega=0.058305634139757034, alpha=0.008666285493077776, beta=0.9913337145069223"
BTC-USD,student_t,2024-11-29,1227,GarchFitError,"fit violated GARCH constraints: omega=0.060353479174876205, alpha=0.008877163072421524, beta=0.9911228369275785"
BTC-USD,student_t,2024-11-30,1228,GarchFitError,"fit violated GARCH constraints: omega=0.07040048103175521, alpha=0.008411109323931045, beta=0.9915888906761827"
BTC-USD,student_t,2024-12-01,1229,GarchFitError,"fit violated GARCH constraints: omega=0.06488973259986071, alpha=0.008957372019937177, beta=0.9910426280557485"
BTC-USD,student_t,2024-12-04,1232,GarchFitError,"fit violated GARCH constraints: omega=0.0670774442741425, alpha=0.009700538816573397, beta=0.9902994611834923"
BTC-USD,student_t,2024-12-07,1235,GarchFitError,"fit violated GARCH constraints: omega=0.06644502026079668, alpha=0.010318380213467706, beta=0.989681619839142"
BTC-USD,student_t,2024-12-08,1236,GarchFitError,"fit violated GARCH constraints: omega=0.06389313931683652, alpha=0.010932994621610922, beta=0.9890670053784689"
BTC-USD,student_t,2024-12-09,1237,GarchFitError,"fit violated GARCH constraints: omega=0.06696307785978682, alpha=0.01103911794679401, beta=0.988960882053364"
BTC-USD,student_t,2024-12-10,1238,GarchFitError,"fit violated GARCH constraints: omega=0.06227393283262031, alpha=0.010609925860494605, beta=0.9893900741410503"
BTC-USD,student_t,2024-12-11,1239,GarchFitError,"fit violated GARCH constraints: omega=0.05918085702699671, alpha=0.011100471686937698, beta=0.9888995283131106"
BTC-USD,student_t,2024-12-14,1242,GarchFitError,"fit violated GARCH constraints: omega=0.06076609095288992, alpha=0.010633277539959567, beta=0.9893667224610471"
BTC-USD,student_t,2024-12-18,1246,GarchFitError,"fit violated GARCH constraints: omega=0.06524574804152632, alpha=0.011476868469878363, beta=0.9885231315301218"
BTC-USD,student_t,2024-12-19,1247,GarchFitError,"fit violated GARCH constraints: omega=0.06402454513220154, alpha=0.010233424491345452, beta=0.9897665755086641"
BTC-USD,student_t,2024-12-23,1251,GarchFitError,"fit violated GARCH constraints: omega=0.0802914443826429, alpha=0.009630156561018908, beta=0.9903698434397376"
BTC-USD,student_t,2024-12-24,1252,GarchFitError,"fit violated GARCH constraints: omega=0.07737290866954559, alpha=0.010145027976539768, beta=0.9898549720234602"
BTC-USD,student_t,2024-12-25,1253,GarchFitError,"fit violated GARCH constraints: omega=0.06983503897185052, alpha=0.00971120127367214, beta=0.9902887987263388"
BTC-USD,student_t,2024-12-27,1255,GarchFitError,"fit violated GARCH constraints: omega=0.06826105978278015, alpha=0.009557726342875186, beta=0.9904422736571249"
BTC-USD,student_t,2024-12-28,1256,GarchFitError,"fit violated GARCH constraints: omega=0.07241637085557272, alpha=0.009141482760816753, beta=0.9908585172391833"
BTC-USD,student_t,2024-12-29,1257,GarchFitError,"fit violated GARCH constraints: omega=0.0899693827078329, alpha=0.008840797651349475, beta=0.9911592023486506"
ETH-USD,student_t,2023-08-05,745,GarchFitError,"fit violated GARCH constraints: omega=0.6205182727319805, alpha=0.1702337780272645, beta=0.8297662219727356"
ETH-USD,student_t,2023-08-06,746,GarchFitError,"fit violated GARCH constraints: omega=0.5727869331529041, alpha=0.1657295891745222, beta=0.8342704108254778"
ETH-USD,student_t,2023-08-07,747,GarchFitError,"fit violated GARCH constraints: omega=0.5309775113738257, alpha=0.1612845521225469, beta=0.8387154478774531"
ETH-USD,student_t,2023-08-08,748,GarchFitError,"fit violated GARCH constraints: omega=0.459621479571157, alpha=0.15643240961871513, beta=0.8435675903812849"
ETH-USD,student_t,2023-08-09,749,GarchFitError,"fit violated GARCH constraints: omega=0.4734159682109686, alpha=0.15867883841322156, beta=0.8413211615867785"
ETH-USD,student_t,2023-08-10,750,GarchFitError,"fit violated GARCH constraints: omega=0.45413588578872827, alpha=0.15579898035849823, beta=0.8442010196415017"
ETH-USD,student_t,2023-08-11,751,GarchFitError,"fit violated GARCH constraints: omega=0.39153811411467243, alpha=0.14924368827629195, beta=0.850756311723708"
ETH-USD,student_t,2023-08-14,754,GarchFitError,"fit violated GARCH constraints: omega=0.24075079478709596, alpha=0.133038148783619, beta=0.866961851216381"
ETH-USD,student_t,2023-08-17,757,GarchFitError,"fit violated GARCH constraints: omega=0.19406995826266304, alpha=0.12755990391655309, beta=0.8724400960835309"
ETH-USD,student_t,2023-08-20,760,GarchFitError,"fit violated GARCH constraints: omega=0.3540088389130302, alpha=0.14230880033067794, beta=0.8576911996693223"
ETH-USD,student_t,2023-08-21,761,GarchFitError,"fit violated GARCH constraints: omega=0.3284805423600986, alpha=0.1370073722178027, beta=0.8629926277821973"
ETH-USD,student_t,2023-08-23,763,GarchFitError,"fit violated GARCH constraints: omega=0.3026603526007574, alpha=0.13291636658254485, beta=0.8670836334174552"
ETH-USD,student_t,2023-08-24,764,GarchFitError,"fit violated GARCH constraints: omega=0.3287501736219974, alpha=0.13932603769430138, beta=0.8606739623056986"
ETH-USD,student_t,2023-08-25,765,GarchFitError,"fit violated GARCH constraints: omega=0.3630863718603357, alpha=0.14709215460617886, beta=0.8529078453938213"
ETH-USD,student_t,2023-08-26,766,GarchFitError,"fit violated GARCH constraints: omega=0.33221016254792174, alpha=0.1409747860601074, beta=0.8590252139398926"
ETH-USD,student_t,2023-08-27,767,GarchFitError,"fit violated GARCH constraints: omega=0.3106203818126899, alpha=0.13580497818166543, beta=0.8641950218183346"
ETH-USD,student_t,2023-08-31,771,GarchFitError,"fit violated GARCH constraints: omega=0.24038891814383984, alpha=0.11584887254323431, beta=0.8841511274567753"
ETH-USD,student_t,2023-09-01,772,GarchFitError,"fit violated GARCH constraints: omega=0.2561765815548646, alpha=0.1183234056709526, beta=0.8816765943290505"
ETH-USD,student_t,2023-09-02,773,GarchFitError,"fit violated GARCH constraints: omega=0.2147682964356641, alpha=0.10881648559949018, beta=0.8911835144005125"
ETH-USD,student_t,2023-09-03,774,GarchFitError,"fit violated GARCH constraints: omega=0.17230958972453314, alpha=0.099091719070161, beta=0.9009082809298435"
ETH-USD,student_t,2023-09-04,775,GarchFitError,"fit violated GARCH constraints: omega=0.1386725223409141, alpha=0.0898455878484641, beta=0.910154412151592"
ETH-USD,student_t,2023-12-10,872,GarchFitError,"fit violated GARCH constraints: omega=0.23720840351017797, alpha=0.08398128622552072, beta=0.9160187137744793"
ETH-USD,student_t,2023-12-11,873,GarchFitError,"fit violated GARCH constraints: omega=0.2799463136806632, alpha=0.08969898006600828, beta=0.9103010199339918"
ETH-USD,student_t,2023-12-12,874,GarchFitError,"fit violated GARCH constraints: omega=0.248814388979438, alpha=0.08431739574316519, beta=0.9156826042568348"
ETH-USD,student_t,2023-12-13,875,GarchFitError,"fit violated GARCH constraints: omega=0.22671636063111125, alpha=0.07927427040867634, beta=0.9207257295913237"
ETH-USD,student_t,2023-12-14,876,GarchFitError,"fit violated GARCH constraints: omega=0.2054378944256449, alpha=0.07637715334436829, beta=0.9236228466556318"
ETH-USD,student_t,2023-12-15,877,GarchFitError,"fit violated GARCH constraints: omega=0.20655646171742045, alpha=0.07584655235365652, beta=0.9241534476463436"
ETH-USD,student_t,2023-12-24,886,GarchFitError,"fit violated GARCH constraints: omega=0.2196379160778913, alpha=0.07801804167877188, beta=0.9219819583212281"
ETH-USD,student_t,2023-12-26,888,GarchFitError,"fit violated GARCH constraints: omega=0.22252720397908882, alpha=0.07675238152438231, beta=0.9232476184756178"
ETH-USD,student_t,2024-01-02,895,GarchFitError,"fit violated GARCH constraints: omega=0.2648530954718009, alpha=0.09175851231533819, beta=0.9082414876846618"
ETH-USD,student_t,2024-01-03,896,GarchFitError,"fit violated GARCH constraints: omega=0.2591051614287324, alpha=0.08944795671249439, beta=0.9105520432875057"
ETH-USD,student_t,2024-01-05,898,GarchFitError,"fit violated GARCH constraints: omega=0.25151404619362233, alpha=0.08785101539332309, beta=0.9121489846066769"
ETH-USD,student_t,2024-01-06,899,GarchFitError,"fit violated GARCH constraints: omega=0.2314308641980191, alpha=0.08200725915119163, beta=0.9179927408488084"
ETH-USD,student_t,2024-02-16,940,GarchFitError,"fit violated GARCH constraints: omega=0.41417284384155245, alpha=0.09958595942908889, beta=0.9004140405709111"
ETH-USD,student_t,2024-02-17,941,GarchFitError,"fit violated GARCH constraints: omega=0.4396267630884359, alpha=0.09900904027646136, beta=0.9009909597235386"
ETH-USD,student_t,2024-02-18,942,GarchFitError,"fit violated GARCH constraints: omega=0.3969913499539344, alpha=0.09419487212213597, beta=0.9058051278778642"
ETH-USD,student_t,2024-02-19,943,GarchFitError,"fit violated GARCH constraints: omega=0.35236374118072256, alpha=0.09009551649107397, beta=0.909904483508926"
ETH-USD,student_t,2024-02-20,944,GarchFitError,"fit violated GARCH constraints: omega=0.334344795021736, alpha=0.0872996094377492, beta=0.9127003905622508"
ETH-USD,student_t,2024-02-21,945,GarchFitError,"fit violated GARCH constraints: omega=0.3095175996015886, alpha=0.08370477709153802, beta=0.916295222908462"
ETH-USD,student_t,2024-02-22,946,GarchFitError,"fit violated GARCH constraints: omega=0.0766372698216079, alpha=0.03389156513901417, beta=0.9661084348609859"
ETH-USD,student_t,2024-02-23,947,GarchFitError,"fit violated GARCH constraints: omega=0.07924080595198552, alpha=0.03345119043292867, beta=0.9665488095670713"
ETH-USD,student_t,2024-02-24,948,GarchFitError,"fit violated GARCH constraints: omega=0.07559602093904508, alpha=0.03274534974732637, beta=0.9672546502526737"
ETH-USD,student_t,2024-03-24,977,GarchFitError,"fit violated GARCH constraints: omega=0.12653965513326926, alpha=0.05592357084897539, beta=0.9440764291510247"
ETH-USD,student_t,2024-03-25,978,GarchFitError,"fit violated GARCH constraints: omega=0.04546255428234768, alpha=0.0409550882339818, beta=0.9590449117661609"
ETH-USD,student_t,2024-03-26,979,GarchFitError,"fit violated GARCH constraints: omega=0.04333845013168158, alpha=0.040946689186350686, beta=0.959053310813681"
ETH-USD,student_t,2024-03-27,980,GarchFitError,"fit violated GARCH constraints: omega=0.043737887154461225, alpha=0.03967066255166495, beta=0.9603293374483461"
ETH-USD,student_t,2024-03-28,981,GarchFitError,"fit violated GARCH constraints: omega=0.04641201924479528, alpha=0.04016402627173399, beta=0.959835973728266"
ETH-USD,student_t,2024-03-30,983,GarchFitError,"fit violated GARCH constraints: omega=0.03977900347513278, alpha=0.03763669666657851, beta=0.9623633033334673"
ETH-USD,student_t,2024-04-03,987,GarchFitError,"fit violated GARCH constraints: omega=0.039732970153396434, alpha=0.03989281026824617, beta=0.9601071897318165"
ETH-USD,student_t,2024-04-04,988,GarchFitError,"fit violated GARCH constraints: omega=0.038279698865719906, alpha=0.03850168368456052, beta=0.9614983163155181"
ETH-USD,student_t,2024-04-05,989,GarchFitError,"fit violated GARCH constraints: omega=0.04072266917278864, alpha=0.03815819552922359, beta=0.9618418044708951"
ETH-USD,student_t,2024-04-06,990,GarchFitError,"fit violated GARCH constraints: omega=0.04209644046204798, alpha=0.03784553637126941, beta=0.962154463628734"
ETH-USD,student_t,2024-04-08,992,GarchFitError,"fit violated GARCH constraints: omega=0.045925805059385004, alpha=0.038254906279044154, beta=0.961745093720964"
ETH-USD,student_t,2024-04-09,993,GarchFitError,"fit violated GARCH constraints: omega=0.04248739151508255, alpha=0.038155533619293525, beta=0.9618444663807263"
ETH-USD,student_t,2024-04-11,995,GarchFitError,"fit violated GARCH constraints: omega=0.039328373890978714, alpha=0.03832712672858119, beta=0.961672873271452"
ETH-USD,student_t,2024-04-12,996,GarchFitError,"fit violated GARCH constraints: omega=0.040811610466713964, alpha=0.03823473380121271, beta=0.961765266199327"
ETH-USD,student_t,2024-04-14,998,GarchFitError,"fit violated GARCH constraints: omega=0.051131854426726395, alpha=0.042660454898987364, beta=0.9573395451288164"
ETH-USD,student_t,2024-04-15,999,GarchFitError,"fit violated GARCH constraints: omega=0.05091583302311387, alpha=0.04333775691228425, beta=0.9566622430889398"
ETH-USD,student_t,2024-04-18,1002,GarchFitError,"fit violated GARCH constraints: omega=0.05709007155287258, alpha=0.043579916440529956, beta=0.9564200835596216"
ETH-USD,student_t,2024-04-19,1003,GarchFitError,"fit violated GARCH constraints: omega=0.05718890342608728, alpha=0.04341841201965586, beta=0.9565815879811526"
ETH-USD,student_t,2024-04-20,1004,GarchFitError,"fit violated GARCH constraints: omega=0.05514677616419322, alpha=0.042746534385948554, beta=0.9572534656142978"
ETH-USD,student_t,2024-04-21,1005,GarchFitError,"fit violated GARCH constraints: omega=0.05950543343130009, alpha=0.043356973939702864, beta=0.9566430260603265"
ETH-USD,student_t,2024-04-23,1007,GarchFitError,"fit violated GARCH constraints: omega=0.07137099785962316, alpha=0.044872796327291596, beta=0.9551272036727085"
ETH-USD,student_t,2024-04-30,1014,GarchFitError,"fit violated GARCH constraints: omega=0.14402166760837237, alpha=0.06765659632700174, beta=0.9323434036729984"
ETH-USD,student_t,2024-05-01,1015,GarchFitError,"fit violated GARCH constraints: omega=0.13046422661096016, alpha=0.06258058919801715, beta=0.9374194108019829"
ETH-USD,student_t,2024-05-02,1016,GarchFitError,"fit violated GARCH constraints: omega=0.1237416347394184, alpha=0.06168943204136938, beta=0.9383105679586307"
ETH-USD,student_t,2024-05-03,1017,GarchFitError,"fit violated GARCH constraints: omega=0.1382131785985577, alpha=0.06385137228012613, beta=0.9361486277198738"
ETH-USD,student_t,2024-05-04,1018,GarchFitError,"fit violated GARCH constraints: omega=0.18448589811600036, alpha=0.0737800520114987, beta=0.9262199479885014"
ETH-USD,student_t,2024-05-05,1019,GarchFitError,"fit violated GARCH constraints: omega=0.18941591669847943, alpha=0.07438276096841137, beta=0.9256172390315887"
ETH-USD,student_t,2024-05-06,1020,GarchFitError,"fit violated GARCH constraints: omega=0.18810380700802404, alpha=0.07455358495495107, beta=0.925446415045049"
ETH-USD,student_t,2024-05-07,1021,GarchFitError,"fit violated GARCH constraints: omega=0.1618759217863264, alpha=0.07032949437094109, beta=0.929670505629059"
ETH-USD,student_t,2024-05-08,1022,GarchFitError,"fit violated GARCH constraints: omega=0.13958161080741532, alpha=0.06655348230166862, beta=0.9334465176983314"
ETH-USD,student_t,2024-05-09,1023,GarchFitError,"fit violated GARCH constraints: omega=0.12642581583625317, alpha=0.06443121405279569, beta=0.9355687859472043"
ETH-USD,student_t,2024-05-12,1026,GarchFitError,"fit violated GARCH constraints: omega=0.10055512971714121, alpha=0.0574047744378729, beta=0.942595225562127"
ETH-USD,student_t,2024-05-13,1027,GarchFitError,"fit violated GARCH constraints: omega=0.0941510205905106, alpha=0.05636525624378914, beta=0.9436347437562108"
ETH-USD,student_t,2024-05-14,1028,GarchFitError,"fit violated GARCH constraints: omega=0.08478846181143623, alpha=0.05481890757270113, beta=0.9451810924272989"
ETH-USD,student_t,2024-05-16,1030,GarchFitError,"fit violated GARCH constraints: omega=0.04637926314165849, alpha=0.04339247246766232, beta=0.9566075275323445"
ETH-USD,student_t,2024-05-17,1031,GarchFitError,"fit violated GARCH constraints: omega=0.03881204308127752, alpha=0.04105235300800934, beta=0.9589476469919932"
ETH-USD,student_t,2024-05-18,1032,GarchFitError,"fit violated GARCH constraints: omega=0.03114262367607716, alpha=0.03827716071391041, beta=0.9617228392878862"
ETH-USD,student_t,2024-05-19,1033,GarchFitError,"fit violated GARCH constraints: omega=0.03576610700346687, alpha=0.03965141111075634, beta=0.9603485888892566"
ETH-USD,student_t,2024-05-20,1034,GarchFitError,"fit violated GARCH constraints: omega=0.03204529632375782, alpha=0.03868162518079072, beta=0.9613183748192226"
ETH-USD,student_t,2024-05-21,1035,GarchFitError,"fit violated GARCH constraints: omega=0.036911833056359075, alpha=0.0373781117110762, beta=0.9626218882889241"
ETH-USD,student_t,2024-05-23,1037,GarchFitError,"fit violated GARCH constraints: omega=0.03195656708898391, alpha=0.03562869733217916, beta=0.9643713026678212"
ETH-USD,student_t,2024-05-24,1038,GarchFitError,"fit violated GARCH constraints: omega=0.03230401470409127, alpha=0.03493965104507558, beta=0.9650603489549244"
ETH-USD,student_t,2024-05-25,1039,GarchFitError,"fit violated GARCH constraints: omega=0.030404065119013897, alpha=0.034214516489927814, beta=0.9657854835100722"
ETH-USD,student_t,2024-05-26,1040,GarchFitError,"fit violated GARCH constraints: omega=0.03269785150954508, alpha=0.03401089104420626, beta=0.9659891089557937"
ETH-USD,student_t,2024-05-27,1041,GarchFitError,"fit violated GARCH constraints: omega=0.03253880162194078, alpha=0.033653447736737827, beta=0.9663465522632622"
ETH-USD,student_t,2024-05-28,1042,GarchFitError,"fit violated GARCH constraints: omega=0.03300556240300912, alpha=0.03338511153342269, beta=0.9666148884665774"
ETH-USD,student_t,2024-05-30,1044,GarchFitError,"fit violated GARCH constraints: omega=0.034333474818855896, alpha=0.03413731971302527, beta=0.9658626802869748"
ETH-USD,student_t,2024-05-31,1045,GarchFitError,"fit violated GARCH constraints: omega=0.033751428412052614, alpha=0.033703548831918576, beta=0.9662964511680815"
ETH-USD,student_t,2024-06-01,1046,GarchFitError,"fit violated GARCH constraints: omega=0.03247570265875415, alpha=0.033246784319620484, beta=0.9667532156803795"
ETH-USD,student_t,2024-06-02,1047,GarchFitError,"fit violated GARCH constraints: omega=0.03525877975463677, alpha=0.03338395144109953, beta=0.9666160485589006"
ETH-USD,student_t,2024-06-03,1048,GarchFitError,"fit violated GARCH constraints: omega=0.03693003686973287, alpha=0.033501963060049496, beta=0.9664980369399506"
ETH-USD,student_t,2024-06-04,1049,GarchFitError,"fit violated GARCH constraints: omega=0.045815920670567965, alpha=0.036284319655163745, beta=0.9637156803448363"
ETH-USD,student_t,2024-06-05,1050,GarchFitError,"fit violated GARCH constraints: omega=0.04784736798455845, alpha=0.03638157696337328, beta=0.9636184230366268"
ETH-USD,student_t,2024-06-06,1051,GarchFitError,"fit violated GARCH constraints: omega=0.04328846774504973, alpha=0.03546104389280984, beta=0.9645389561071902"
ETH-USD,student_t,2024-06-07,1052,GarchFitError,"fit violated GARCH constraints: omega=0.039782469331774414, alpha=0.03488755534990695, beta=0.9651124446500932"
ETH-USD,student_t,2024-06-08,1053,GarchFitError,"fit violated GARCH constraints: omega=0.04246110534213514, alpha=0.03549520461250301, beta=0.9645047953874971"
