instrument,innovation,forecast_date,origin_index,error_type,error
BTC-USD,student_t,2023-09-03,774,GarchFitError,"fit violated GARCH constraints: omega=0.5009090326574596, alpha=0.14732467913647668, beta=0.852675320863524"
BTC-USD,student_t,2023-09-06,777,GarchFitError,"fit violated GARCH constraints: omega=0.34947882309435213, alpha=0.11981260724297901, beta=0.8801873927570245"
BTC-USD,student_t,2023-09-07,778,GarchFitError,"fit violated GARCH constraints: omega=0.30986532498176206, alpha=0.11398159442906301, beta=0.8860184055709518"
BTC-USD,student_t,2023-09-08,779,GarchFitError,"fit violated GARCH constraints: omega=0.30913370206095453, alpha=0.11269321086483247, beta=0.8873067891351729"
BTC-USD,student_t,2023-09-09,780,GarchFitError,"fit violated GARCH constraints: omega=0.3396539749290821, alpha=0.11751890617202115, beta=0.8824810938279825"
BTC-USD,student_t,2023-09-12,783,GarchFitError,"fit violated GARCH constraints: omega=0.30404898825297416, alpha=0.10716502004739044, beta=0.8928349799526152"
BTC-USD,student_t,2023-09-13,784,GarchFitError,"fit violated GARCH constraints: omega=0.3038283937580427, alpha=0.10557501540565574, beta=0.8944249845943454"
BTC-USD,student_t,2023-09-15,786,GarchFitError,"fit violated GARCH constraints: omega=0.27200625843595877, alpha=0.10103381234228431, beta=0.8989661876577215"
BTC-USD,student_t,2023-09-17,788,GarchFitError,"fit violated GARCH constraints: omega=0.2548301059720066, alpha=0.0961277199392424, beta=0.9038722800607587"
BTC-USD,student_t,2023-09-19,790,GarchFitError,"fit violated GARCH constraints: omega=0.27346829145131846, alpha=0.10184344503268078, beta=0.8981565549673199"
BTC-USD,student_t,2023-09-20,791,GarchFitError,"fit violated GARCH constraints: omega=0.26928824178217764, alpha=0.10092788130724549, beta=0.8990721186927547"
BTC-USD,student_t,2023-09-23,794,GarchFitError,"fit violated GARCH constraints: omega=0.3906413733529228, alpha=0.12797113370466778, beta=0.8720288662953416"
BTC-USD,student_t,2023-09-24,795,GarchFitError,"fit violated GARCH constraints: omega=0.48669575809107246, alpha=0.1455999912682689, beta=0.8544000087317427"
BTC-USD,student_t,2023-09-25,796,GarchFitError,"fit violated GARCH constraints: omega=0.43336826284025787, alpha=0.13907174952827683, beta=0.8609282504717976"
BTC-USD,student_t,2023-09-26,797,GarchFitError,"fit violated GARCH constraints: omega=0.3856440511006872, alpha=0.1340800033865408, beta=0.8659199966135879"
BTC-USD,student_t,2023-09-27,798,GarchFitError,"fit violated GARCH constraints: omega=0.3703469501667214, alpha=0.1314472012376979, beta=0.8685527987623094"
BTC-USD,student_t,2023-09-30,801,GarchFitError,"fit violated GARCH constraints: omega=0.38978650570640533, alpha=0.127988091254884, beta=0.872011908745116"
BTC-USD,student_t,2023-10-04,805,GarchFitError,"fit violated GARCH constraints: omega=0.4678320093913199, alpha=0.131399184143452, beta=0.8686008158565712"
BTC-USD,student_t,2023-10-06,807,GarchFitError,"fit violated GARCH constraints: omega=0.5441428170160062, alpha=0.13684331441337885, beta=0.8631566855869296"
BTC-USD,student_t,2023-10-09,810,GarchFitError,"fit violated GARCH constraints: omega=0.38015499240945255, alpha=0.1144840956338874, beta=0.88551590436612"
