actual_loss_percent,actual_return_percent,es_0.95_percent,es_0.99_percent,exceedance_0.95,exceedance_0.99,fit_aic,fit_bic,fit_convergence_flag,fit_error_json,fit_log_likelihood,fit_parameters_json,fit_sigma_percent,fit_success,forecast_date,fz0_0.95,fz0_0.99,innovation,instrument,origin_index,quantile_loss_0.95,quantile_loss_0.99,risk_error,training_mean_percent,training_window_end,training_window_start,var_0.95_percent,var_0.99_percent
4.017543689263801,-4.017543689263801,9.559430404772137,14.866781211155434,False,False,2889.0379521798386,2905.8963845735275,0,null,-1440.5189760899193,"{""alpha[1]"": 0.12506024087231132, ""beta[1]"": 0.5683810865762298, ""nu"": 4.742129616047747, ""omega"": 6.636731874809792}",4.227735704068799,True,2022-12-03,1.9501790225781828,2.447966166825911,student_t,ETH-USD,500,0.13019020887102867,0.07115250542651938,,-0.0645702824413963,2022-12-02,2021-07-21,6.6213478666843715,11.132794231915732
-2.926336436276523,2.926336436276523,9.78094246308778,15.163045855643881,False,False,2884.0212953331456,2900.8797277268345,0,null,-1438.0106476665728,"{""alpha[1]"": 0.12260350958664798, ""beta[1]"": 0.5882356903462825, ""nu"": 4.786597347887084, ""omega"": 6.249505472928893}",4.315574562624958,True,2022-12-04,1.975172228593956,2.469614098556494,student_t,ETH-USD,501,0.4860756511832581,0.1431003594136578,,-0.09416504311107517,2022-12-03,2021-07-22,6.79517658738863,11.383699505089245
1.620537356039885,-1.620537356039885,9.681711447005958,14.981699663687085,False,False,2884.6040187575477,2901.4624511512366,0,null,-1438.3020093787738,"{""alpha[1]"": 0.12413703666153458, ""beta[1]"": 0.5820310209330066, ""nu"": 4.826639280390322, ""omega"": 6.327523784451512}",4.274581226274695,True,2022-12-05,1.9659831648292796,2.4588346859561105,student_t,ETH-USD,502,0.2557729954553442,0.09645779476557255,,-0.0917218606211339,2022-12-04,2021-07-23,6.735997265146765,11.26631683259713
-0.9463118357877781,0.9463118357877781,9.44617075104604,14.669128587416719,False,False,2882.651058451564,2899.509490845253,0,null,-1437.325529225782,"{""alpha[1]"": 0.12336297217441614, ""beta[1]"": 0.592165431913261, ""nu"": 4.74035118443286, ""omega"": 6.1665417985101}",4.159406066550597,True,2022-12-06,1.939547118491121,2.4352261678581746,student_t,ETH-USD,503,0.37506827815962995,0.11940544682665105,,-0.10456230516678823,2022-12-05,2021-07-24,6.555053727404815,10.994232846877317
3.1324349429314946,-3.1324349429314946,9.262425077182323,14.422240139072404,False,False,2881.781226563161,2898.63965895685,0,null,-1436.8906132815805,"{""alpha[1]"": 0.12417655687585225, ""beta[1]"": 0.5922934589497795, ""nu"": 4.681513840198536, ""omega"": 6.17638196915971}",4.072798378203798,True,2022-12-07,1.918485544429434,2.4163937895404244,student_t,ETH-USD,504,0.16409881809028676,0.07649953693749198,,-0.10864529597687707,2022-12-06,2021-07-25,6.414411304737227,10.782388636680686
-3.8737917289119226,3.8737917289119226,9.409350531347455,14.603355132742081,False,False,2882.935524433151,2899.79395682684,0,null,-1437.4677622165755,"{""alpha[1]"": 0.12377803995543449, ""beta[1]"": 0.5860005993347427, ""nu"": 4.743830258078021, ""omega"": 6.286473711345603}",4.138495496558016,True,2022-12-08,1.9360962409583418,2.4310366892590123,student_t,ETH-USD,505,0.5203786184004385,0.14823173955063706,,-0.11510694555951237,2022-12-07,2021-07-26,6.533780639096838,10.949382226151771
1.3225254108075721,-1.3225254108075721,9.714790644868147,15.047955806033384,False,False,2884.0876705300607,2900.9461029237495,0,null,-1438.0438352650303,"{""alpha[1]"": 0.12337090446368139, ""beta[1]"": 0.5815173493129842, ""nu"": 4.790430399166026, ""omega"": 6.37559357165841}",4.278737485660133,True,2022-12-09,1.9690469325009698,2.4624130062668015,student_t,ETH-USD,506,0.27165573705625357,0.09981060359910385,,-0.11115566889381431,2022-12-08,2021-07-27,6.755640151932639,11.303585770717948
-0.16591387709813746,0.16591387709813746,9.436729426888565,14.641194230646628,False,False,2883.456372335294,2900.314804728983,0,null,-1437.728186167647,"{""alpha[1]"": 0.12250065081368725, ""beta[1]"": 0.5872864804732699, ""nu"": 4.7471582952238185, ""omega"": 6.283256908364627}",4.148886280035899,True,2022-12-10,1.9392260971638287,2.433804553015124,student_t,ETH-USD,507,0.33604115634741044,0.11146304058127086,,-0.11953554289245324,2022-12-09,2021-07-28,6.5549092498500645,10.98039018102894
0.1988438422603472,-0.1988438422603472,9.175466447542794,14.224123386594005,False,False,2883.312555051219,2900.170987444908,0,null,-1437.6562775256095,"{""alpha[1]"": 0.12424110979805841, ""beta[1]"": 0.5884873130823487, ""nu"": 4.7619114132593126, ""omega"": 6.200504627367548}",4.033504174276592,True,2022-12-11,1.9116425521362985,2.405437222933774,student_t,ETH-USD,508,0.30895542027665346,0.10476330457220258,,-0.11904805609897957,2022-12-10,2021-07-29,6.37795224779341,10.675174299480595
-0.8470046091556039,0.8470046091556039,9.038655155740216,14.053037005190468,False,False,2881.9043730371404,2898.7628054308293,0,null,-1436.9521865185702,"{""alpha[1]"": 0.12587853073761665, ""beta[1]"": 0.5921219602973584, ""nu"": 4.694541265417727, ""omega"": 6.1155297809184646}",3.965859418538229,True,2022-12-12,1.8951031844339408,2.391275756816702,student_t,ETH-USD,509,0.35580753149252187,0.1136482066246634,,-0.12666502780076433,2022-12-11,2021-07-30,6.269146020694827,10.517816053310726
-3.5400380800816573,3.5400380800816573,8.981664684139528,14.003362870929323,False,False,2880.6008702238796,2897.4593026175685,0,null,-1436.3004351119398,"{""alpha[1]"": 0.12723272077803305, ""beta[1]"": 0.5980269753820344, ""nu"": 4.634450229392069, ""omega"": 5.990306611452977}",3.935164825697477,True,2022-12-13,1.887301575544321,2.3857947236556933,student_t,ETH-USD,510,0.4878197455255258,0.13993509503335708,,-0.13206797521981903,2022-12-12,2021-07-31,6.216356830428851,10.453471423254038
0.8533116278995941,-0.8533116278995941,9.38077513962324,14.608648240912236,False,False,2881.124464167465,2897.9828965611537,0,null,-1436.5622320837324,"{""alpha[1]"": 0.12446769655038138, ""beta[1]"": 0.6051830776267825, ""nu"": 4.662895595230179, ""omega"": 5.8800449590121735}",4.11477181889178,True,2022-12-14,1.9313393698185228,2.428960665774218,student_t,ETH-USD,511,0.28222676488292603,0.10064417329241407,,-0.13052462384175245,2022-12-13,2021-08-01,6.49784692555811,10.91772895714099
3.3372777545025647,-3.3372777545025647,9.089738234872499,14.129336418081694,False,False,2880.7352380179664,2897.5936704116552,0,null,-1436.3676190089832,"{""alpha[1]"": 0.121898469752746, ""beta[1]"": 0.6294914779861944, ""nu"": 4.693491061578897, ""omega"": 5.3762131102811335}",3.985167308586634,True,2022-12-15,1.90094439302774,2.3967790288872184,student_t,ETH-USD,512,0.1484583509689421,0.07238895033670206,,-0.13424317289832163,2022-12-14,2021-08-02,6.306444773881404,10.576172788172764
8.062686437450383,-8.062686437450383,9.247279521999852,14.317649595714498,True,False,2881.057322691221,2897.91575508491,0,null,-1436.5286613456105,"{""alpha[1]"": 0.12108907161106436, ""beta[1]"": 0.6351176012268488, ""nu"": 4.767800281397046, ""omega"": 5.224994928328086}",4.054380711367495,True,2022-12-16,5.4365649460732985,2.41261765651939,student_t,ETH-USD,513,1.5444516523066312,0.026916530013801024,,-0.14465343011935225,2022-12-15,2021-08-03,6.4369478560749815,10.754339438830483
-1.6882137140066298,1.6882137140066298,11.05695982741236,17.12471912793693,False,False,2884.2708252810953,2901.129257674784,0,null,-1438.1354126405477,"{""alpha[1]"": 0.1216016247424913, ""beta[1]"": 0.6131819670614654, ""nu"": 4.775556615523882, ""omega"": 5.700612131049625}",4.857469759877936,True,2022-12-17,2.0987824058987585,2.5915945989921725,student_t,ETH-USD,514,0.46903937705009013,0.14550104187540194,,-0.15234303723293016,2022-12-16,2021-08-04,7.692573826995164,12.861890473533553
0.2894668483601644,-0.2894668483601644,10.377480284776093,16.12749126107105,False,False,2880.5653232313134,2897.4237556250023,0,null,-1436.2826616156567,"{""alpha[1]"": 0.11934185419300217, ""beta[1]"": 0.6027233682143629, ""nu"": 4.688987408889581, ""omega"": 5.975199810263154}",4.543829029622095,True,2022-12-18,2.0336926092577254,2.5291008421426735,student_t,ETH-USD,515,0.3456535063103582,0.11783177898789318,,-0.1659863674329647,2022-12-17,2021-08-05,7.202536974567321,12.072644747149473
